Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12051.0,1999
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25874.0,1999
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23698.0,1999
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23698.0,1999
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32662.0,1999
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21652.0,1999
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21652.0,1999
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39760.0,1999
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26469.0,1999
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13540.0,1999
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18780.0,1999
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20928.0,1999
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28944.0,1999
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20687.0,1999
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24584.0,1999
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13937.0,1999
1,10887.0,44101.0,61328.0,35565.0,27649.0,51806.0,47114.0,165234.0,199514.0,95472.0,66065.0,274664.0,2000
2,17612.0,50413.0,56461.0,20283.0,58001.0,65159.0,21767.0,184257.0,132325.0,207125.0,64934.0,173101.0,2000
3,17612.0,34289.0,64116.0,57310.0,64948.0,38966.0,75373.0,168901.0,92935.0,200319.0,0.0,116240.0,2000
4,26367.0,48986.0,39550.0,56234.0,84225.0,20345.0,55732.0,199780.0,162793.0,193775.0,178050.0,257495.0,2000
5,23854.0,22682.0,21675.0,57799.0,67223.0,65290.0,51563.0,152566.0,186302.0,181408.0,90208.0,254492.0,2000
6,21367.0,24309.0,58989.0,55089.0,37272.0,66843.0,54956.0,86712.0,209586.0,226186.0,241904.0,259054.0,2000
7,21308.0,63274.0,57989.0,62496.0,19570.0,63132.0,69287.0,173409.0,186372.0,148734.0,227775.0,250120.0,2000
8,19364.0,50402.0,58966.0,37155.0,60286.0,61125.0,34246.0,163536.0,198120.0,87228.0,217905.0,259549.0,2000
9,16642.0,51263.0,56421.0,20210.0,63146.0,66008.0,17829.0,210433.0,144802.0,219222.0,194561.0,203231.0,2000
10,16642.0,51259.0,62221.0,58505.0,62463.0,38865.0,67774.0,179657.0,84305.0,201075.0,191267.0,114462.0,2000
11,20778.0,57036.0,39295.0,58408.0,60208.0,19126.0,72450.0,189035.0,188271.0,208748.0,190030.0,283578.0,2000
12,20921.0,37977.0,20165.0,59317.0,65329.0,20808.0,72383.0,129578.0,188545.0,198568.0,97609.0,258535.0,2000
13,20632.0,23101.0,57165.0,57374.0,37352.0,59167.0,69235.0,87941.0,209037.0,219030.0,233710.0,262348.0,2000
14,25602.0,52073.0,57100.0,63482.0,21058.0,65667.0,80717.0,177716.0,177507.0,169289.0,191162.0,260370.0,2000
15,22530.0,50887.0,60747.0,39009.0,60391.0,64193.0,52856.0,184411.0,206172.0,105243.0,247676.0,284861.0,2000
16,12051.0,54075.0,58255.0,21316.0,62520.0,73289.0,26842.0,192708.0,157109.0,206523.0,243443.0,219064.0,2000
17,25874.0,52131.0,62907.0,60149.0,67681.0,41793.0,78493.0,179449.0,96470.0,214072.0,253263.0,154975.0,2000
18,22912.0,50337.0,38690.0,53704.0,64715.0,22440.0,79601.0,187890.0,185691.0,217254.0,186909.0,290498.0,2000
19,25614.0,36268.0,20769.0,58948.0,64550.0,57913.0,79670.0,138933.0,180175.0,213609.0,113869.0,284079.0,2000
20,25110.0,17778.0,55799.0,0.0,41118.0,84373.0,0.0,86564.0,224954.0,83705.0,243433.0,295717.0,2000
21,26247.0,53166.0,54722.0,0.0,21604.0,67939.0,141713.0,217481.0,185895.0,150130.0,238550.0,268243.0,2000
22,15524.0,52931.0,56956.0,0.0,64188.0,64475.0,131190.0,159999.0,213918.0,105962.0,240637.0,296969.0,2000
23,10251.0,55257.0,55099.0,0.0,60795.0,71074.0,70916.0,188690.0,152753.0,203038.0,231733.0,214755.0,2000
24,24717.0,58907.0,59511.0,52629.0,62508.0,41955.0,149907.0,176679.0,83051.0,187347.0,251565.0,127021.0,2000
25,19445.0,194631.0,36591.0,54397.0,66328.0,16536.0,156505.0,182095.0,203478.0,237265.0,186813.0,120107.0,2000
26,27146.0,38662.0,20106.0,54787.0,64948.0,63446.0,167994.0,200789.0,201834.0,203828.0,112142.0,229431.0,2000
27,26934.0,19100.0,54588.0,54837.0,37132.0,55398.0,163105.0,74182.0,209765.0,223002.0,240687.0,242553.0,2000
28,32452.0,55008.0,53622.0,63724.0,18786.0,51354.0,184143.0,190665.0,196309.0,113235.0,237594.0,246293.0,2000
29,19039.0,59249.0,55037.0,38002.0,62066.0,51415.0,139707.0,177594.0,199511.0,60263.0,266832.0,254715.0,2000
30,12312.0,0.0,43409.0,24981.0,61827.0,94076.0,89522.0,178618.0,153903.0,206020.0,146856.0,136350.0,2000
31,31370.0,0.0,48538.0,0.0,65813.0,0.0,189464.0,186022.0,0.0,209170.0,0.0,69747.0,2000
1,62000.0,252918.0,263346.0,124844.0,150228.0,301619.0,172299.0,313204.0,237693.0,316237.0,91112.0,214486.0,2001
2,178150.0,264166.0,275550.0,274167.0,283417.0,206008.0,280854.0,290713.0,150822.0,309462.0,106950.0,147387.0,2001
3,222181.0,191888.0,202320.0,0.0,259138.0,136243.0,291955.0,304237.0,311948.0,317349.0,136609.0,324267.0,2001
4,220567.0,118482.0,129632.0,539343.0,277272.0,279042.0,269707.0,218085.0,303236.0,302186.0,83355.0,312200.0,2001
5,232398.0,263520.0,271408.0,268919.0,197894.0,275104.0,261711.0,144504.0,309532.0,327948.0,302945.0,324108.0,2001
6,165685.0,266912.0,260455.0,279591.0,123682.0,281588.0,297446.0,303890.0,296560.0,236825.0,302063.0,297594.0,2001
7,99610.0,262482.0,275986.0,29753.0,236939.0,265158.0,235399.0,289193.0,316647.0,146705.0,304968.0,335145.0,2001
