YearMonth,Year,Month,Total_Incidents,Accidents,Stalled,Other,Avg_Lanes_Blocked
2018-08,2018,8,319,215,87,17,1.1003134796238245
2018-09,2018,9,885,666,186,33,1.0870056497175142
2018-10,2018,10,1101,809,253,39,1.0690281562216166
2018-11,2018,11,924,720,182,21,1.0735930735930737
2018-12,2018,12,782,610,157,15,1.0792838874680306
2019-01,2019,1,920,666,219,35,1.0706521739130435
2019-02,2019,2,854,658,168,28,1.031615925058548
2019-03,2019,3,1045,784,223,38,1.0277511961722487
2019-04,2019,4,825,602,197,26,0.9927272727272727
2019-05,2019,5,814,588,199,27,1.0343980343980343
2019-06,2019,6,800,598,176,26,1.055
2019-07,2019,7,906,639,206,61,1.0430463576158941
2019-08,2019,8,901,626,231,44,1.0477247502774696
2019-09,2019,9,833,610,199,24,1.085234093637455
2019-10,2019,10,855,614,207,34,1.024561403508772
2019-11,2019,11,746,556,166,24,1.111260053619303
2019-12,2019,12,612,483,117,11,1.1029411764705883
2020-01,2020,1,781,604,170,7,1.0768245838668373
2020-02,2020,2,775,609,143,23,1.0593548387096774
2020-03,2020,3,292,220,58,14,1.0445205479452055
2020-04,2020,4,11,7,3,1,1.0
2020-05,2020,5,75,54,19,2,1.0133333333333334
2020-06,2020,6,69,52,17,0,1.0144927536231885
2020-09,2020,9,242,163,71,8,1.0041322314049588
2020-10,2020,10,431,274,132,25,0.9721577726218097
2020-11,2020,11,292,175,106,10,0.9794520547945206
2020-12,2020,12,222,145,64,13,1.045045045045045
