Date,Time,City,Location,Latitude,Longitude,Direction,Type,Lanes_Blocked,Involved,Hour,DayOfWeek,Month,Year,YearMonth,Incident_Category
2018-08-20,7:55 AM,Pasig City,ORTIGAS EMERALD,14.586343,121.061481,EB,VEHICULAR ACCIDENT,1.0,TAXI AND MC,7.0,Monday,8,2018,2018-08,Accident
2018-08-20,8:42 AM,Mandaluyong,EDSA GUADIX,14.589432,121.057243,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1.0,L300,8.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-20,9:13 AM,Makati City,EDSA ROCKWELL,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1.0,SUV AND L300,9.0,Monday,8,2018,2018-08,Accident
2018-08-20,8:42 AM,Mandaluyong,EDSA GUADIX,14.589432,121.057243,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1.0,L300,8.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-20,10:27 AM,San Juan,ORTIGAS CLUB FILIPINO,14.601845999999998,121.046754,EB,VEHICULAR ACCIDENT,1.0,2 CARS,10.0,Monday,8,2018,2018-08,Accident
2018-08-20,11:18 AM,Makati City,C5 KALAYAAN,14.556079,121.062936,SB,VEHICULAR ON FIRE,1.0,BUS,11.0,Monday,8,2018,2018-08,Other
2018-08-20,12:33 PM,Quezon City,EDSA ORTIGAS ROBINSONS,14.592515,121.058225,NB,VEHICULAR ACCIDENT,1.0,CAR AND BUS,12.0,Monday,8,2018,2018-08,Accident
2018-08-20,12:39 PM,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,NB,MULTIPLE COLLISION,2.0,3 CARS,12.0,Monday,8,2018,2018-08,Accident
2018-08-20,12:39 PM,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,NB,MULTIPLE COLLISION,2.0,3 CARS,12.0,Monday,8,2018,2018-08,Accident
2018-08-20,2:51 PM,Quezon City,EDSA FARMERS,14.619717,121.050978,NB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,14.0,Monday,8,2018,2018-08,Accident
2018-08-20,4:14 PM,Pasig City,C5 LANUZA,14.577625,121.073462,SB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1.0,TRUCK,16.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-20,5:17 PM,Quezon City,C5 ATENEO KATIPUNAN,14.638481,121.07453999999998,NB,MULTIPLE COLLISION C5ENEO KAT,1.0,"CLOSED VAN, TRUCK, CAR AND MC",17.0,Monday,8,2018,2018-08,Accident
2018-08-20,6:21 PM,Quezon City,EDSA BONI,14.638481,121.07453999999998,NB,STALLED BUS DUE TO MECHANICAL DEFECT,1.0,BUS,18.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-20,7:19 PM,Marikina,MARCOS HIGHWAY LRT SANTOLAN,14.622242000000002,121.086405,EB,VEHICULAR ACCIDENT,1.0,PUJ AND AUV,19.0,Monday,8,2018,2018-08,Accident
2018-08-20,7:44 PM,Pasay City,EDSA HERITAGE,14.537348,120.993593,NB,VEHICULAR ACCIDENT,1.0,TAXI AND TRUCK,19.0,Monday,8,2018,2018-08,Accident
2018-08-20,8:58 PM,Pasig City,C5 ORTIGAS FLYOVER,14.589706,121.079945,NB,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,1.0,CLOSED VAN,20.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-20,8:58 PM,Pasig City,C5 ORTIGAS FLYOVER,14.589706,121.079945,NB,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,1.0,CLOSED VAN,20.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-20,7:05 AM,Quezon City,EDSA ERMIN GARCIA,14.628035,121.047229,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,7.0,Monday,8,2018,2018-08,Stalled Vehicle
2018-08-21,7:05 AM,Quezon City,EDSA ERMIN GARCIA,14.628035,121.047229,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,7.0,Tuesday,8,2018,2018-08,Stalled Vehicle
2018-08-21,9:50 AM,Makati City,EDSA GUADALUPE PET PLANS,14.566348,121.045356,SB,ONGOING DPWH ROAD PATCHING,1.0,,9.0,Tuesday,8,2018,2018-08,Other
2018-08-21,10:00 AM,Quezon City,COMMONWEALTH DILIMAN,14.659263,121.06126100000002,EB,VEHICULAR ACCIDENT,1.0,2 MC,10.0,Tuesday,8,2018,2018-08,Accident
