Hour,DayOfWeek,Incidents
0.0,Friday,46
0.0,Monday,17
0.0,Saturday,39
0.0,Sunday,8
0.0,Thursday,44
0.0,Tuesday,43
0.0,Wednesday,50
1.0,Friday,19
1.0,Monday,8
1.0,Saturday,26
1.0,Sunday,6
1.0,Thursday,13
1.0,Tuesday,23
1.0,Wednesday,24
2.0,Friday,10
2.0,Monday,4
2.0,Saturday,13
2.0,Sunday,1
2.0,Thursday,9
2.0,Tuesday,9
2.0,Wednesday,9
3.0,Friday,13
3.0,Monday,4
3.0,Saturday,16
3.0,Sunday,1
3.0,Thursday,9
3.0,Tuesday,8
3.0,Wednesday,16
4.0,Friday,42
4.0,Monday,45
4.0,Saturday,54
4.0,Sunday,12
4.0,Thursday,46
4.0,Tuesday,43
4.0,Wednesday,45
5.0,Friday,96
5.0,Monday,92
5.0,Saturday,71
5.0,Sunday,23
5.0,Thursday,120
5.0,Tuesday,100
5.0,Wednesday,104
6.0,Friday,133
6.0,Monday,160
6.0,Saturday,126
6.0,Sunday,74
6.0,Thursday,150
6.0,Tuesday,195
6.0,Wednesday,175
7.0,Friday,186
7.0,Monday,251
7.0,Saturday,139
7.0,Sunday,95
7.0,Thursday,189
7.0,Tuesday,258
7.0,Wednesday,236
8.0,Friday,186
8.0,Monday,229
8.0,Saturday,127
8.0,Sunday,64
8.0,Thursday,217
8.0,Tuesday,231
8.0,Wednesday,217
9.0,Friday,196
9.0,Monday,215
9.0,Saturday,117
9.0,Sunday,77
9.0,Thursday,219
9.0,Tuesday,205
9.0,Wednesday,163
10.0,Friday,160
10.0,Monday,173
10.0,Saturday,160
10.0,Sunday,79
10.0,Thursday,166
10.0,Tuesday,232
10.0,Wednesday,179
11.0,Friday,158
11.0,Monday,168
11.0,Saturday,176
11.0,Sunday,69
11.0,Thursday,122
11.0,Tuesday,181
11.0,Wednesday,142
12.0,Friday,152
12.0,Monday,120
12.0,Saturday,144
12.0,Sunday,69
12.0,Thursday,130
12.0,Tuesday,118
12.0,Wednesday,153
13.0,Friday,89
13.0,Monday,58
13.0,Saturday,86
13.0,Sunday,49
13.0,Thursday,85
13.0,Tuesday,94
13.0,Wednesday,97
14.0,Friday,130
14.0,Monday,99
14.0,Saturday,152
14.0,Sunday,60
14.0,Thursday,132
14.0,Tuesday,138
14.0,Wednesday,149
15.0,Friday,174
15.0,Monday,163
15.0,Saturday,174
15.0,Sunday,91
15.0,Thursday,143
15.0,Tuesday,183
15.0,Wednesday,181
16.0,Friday,192
16.0,Monday,139
16.0,Saturday,144
16.0,Sunday,64
16.0,Thursday,150
16.0,Tuesday,158
16.0,Wednesday,177
17.0,Friday,133
17.0,Monday,98
17.0,Saturday,105
17.0,Sunday,58
17.0,Thursday,116
17.0,Tuesday,139
17.0,Wednesday,122
18.0,Friday,165
18.0,Monday,120
18.0,Saturday,95
18.0,Sunday,67
18.0,Thursday,145
18.0,Tuesday,114
18.0,Wednesday,145
19.0,Friday,144
19.0,Monday,111
19.0,Saturday,78
19.0,Sunday,51
19.0,Thursday,106
19.0,Tuesday,141
19.0,Wednesday,124
20.0,Friday,102
20.0,Monday,111
20.0,Saturday,73
20.0,Sunday,52
20.0,Thursday,102
20.0,Tuesday,87
20.0,Wednesday,140
21.0,Friday,63
21.0,Monday,63
21.0,Saturday,46
21.0,Sunday,38
21.0,Thursday,46
21.0,Tuesday,67
21.0,Wednesday,75
22.0,Friday,101
22.0,Monday,68
22.0,Saturday,27
22.0,Sunday,41
22.0,Thursday,59
22.0,Tuesday,68
22.0,Wednesday,63
23.0,Friday,84
23.0,Monday,51
23.0,Saturday,45
23.0,Sunday,33
23.0,Thursday,79
23.0,Tuesday,48
23.0,Wednesday,71
