Year,Annual_Total,Avg_Daily,Peak_Month_Riders
1999,368916.0,23057.25,368916.0
2000,39401465.0,108744.93330291017,6962617.0
2001,90262148.0,250485.64219297725,8613773.0
2002,102443564.0,282762.2263184844,9635311.0
2003,112647474.0,311962.33106275735,10408300.0
2004,122512169.0,338392.87843353965,10951598.0
2005,128401322.0,355744.5901753713,11527030.0
2006,135151161.0,374374.0848255116,11943464.0
2007,142886057.0,395624.6637057387,12748860.0
2008,149585563.0,413267.2190008789,13197729.0
2009,151521764.0,419849.0251600102,13335315.0
2010,153078770.0,424276.85745598486,13355286.0
2011,158806049.0,439823.0938669306,14140969.0
2012,174454146.22656,481678.88961020485,15878503.0
2013,176058278.0,487771.23005419015,16000936.0
2014,167818336.0,465211.25805959274,15183367.0
2015,118160480.5244787,327813.3142399803,10851544.0
2016,133952890.0,369842.7757923756,12665373.0
2017,140152161.0,388359.4621829335,12957802.0
2018,104275362.0,288952.07092033967,9767773.0
2019,97150096.0,271385.6045108975,9164318.0
2020,31874166.0,120560.75918135687,7985344.0
2021,45691914.0,126885.96086702972,5508206.0
2022,98330683.0,273110.59488863294,10555184.0
2023,129030158.0,357198.1247804167,11618005.0
2024,135885336.0,375474.0518786306,12030245.0
2025,23320511.0,352213.7181259601,11649652.0
