Day,Year,Month_Name,Ridership,Date_Str,Date,Month,DayOfWeek,YearMonth
1,2000,January,10887.0,2000-January-1,2000-01-01,1,Saturday,2000-01
2,2000,January,17612.0,2000-January-2,2000-01-02,1,Sunday,2000-01
3,2000,January,17612.0,2000-January-3,2000-01-03,1,Monday,2000-01
4,2000,January,26367.0,2000-January-4,2000-01-04,1,Tuesday,2000-01
5,2000,January,23854.0,2000-January-5,2000-01-05,1,Wednesday,2000-01
6,2000,January,21367.0,2000-January-6,2000-01-06,1,Thursday,2000-01
7,2000,January,21308.0,2000-January-7,2000-01-07,1,Friday,2000-01
8,2000,January,19364.0,2000-January-8,2000-01-08,1,Saturday,2000-01
9,2000,January,16642.0,2000-January-9,2000-01-09,1,Sunday,2000-01
10,2000,January,16642.0,2000-January-10,2000-01-10,1,Monday,2000-01
11,2000,January,20778.0,2000-January-11,2000-01-11,1,Tuesday,2000-01
12,2000,January,20921.0,2000-January-12,2000-01-12,1,Wednesday,2000-01
13,2000,January,20632.0,2000-January-13,2000-01-13,1,Thursday,2000-01
14,2000,January,25602.0,2000-January-14,2000-01-14,1,Friday,2000-01
15,2000,January,22530.0,2000-January-15,2000-01-15,1,Saturday,2000-01
16,2000,January,12051.0,2000-January-16,2000-01-16,1,Sunday,2000-01
17,2000,January,25874.0,2000-January-17,2000-01-17,1,Monday,2000-01
18,2000,January,22912.0,2000-January-18,2000-01-18,1,Tuesday,2000-01
19,2000,January,25614.0,2000-January-19,2000-01-19,1,Wednesday,2000-01
20,2000,January,25110.0,2000-January-20,2000-01-20,1,Thursday,2000-01
21,2000,January,26247.0,2000-January-21,2000-01-21,1,Friday,2000-01
22,2000,January,15524.0,2000-January-22,2000-01-22,1,Saturday,2000-01
23,2000,January,10251.0,2000-January-23,2000-01-23,1,Sunday,2000-01
24,2000,January,24717.0,2000-January-24,2000-01-24,1,Monday,2000-01
25,2000,January,19445.0,2000-January-25,2000-01-25,1,Tuesday,2000-01
26,2000,January,27146.0,2000-January-26,2000-01-26,1,Wednesday,2000-01
27,2000,January,26934.0,2000-January-27,2000-01-27,1,Thursday,2000-01
28,2000,January,32452.0,2000-January-28,2000-01-28,1,Friday,2000-01
29,2000,January,19039.0,2000-January-29,2000-01-29,1,Saturday,2000-01
30,2000,January,12312.0,2000-January-30,2000-01-30,1,Sunday,2000-01
31,2000,January,31370.0,2000-January-31,2000-01-31,1,Monday,2000-01
1,2001,January,62000.0,2001-January-1,2001-01-01,1,Monday,2001-01
2,2001,January,178150.0,2001-January-2,2001-01-02,1,Tuesday,2001-01
3,2001,January,222181.0,2001-January-3,2001-01-03,1,Wednesday,2001-01
4,2001,January,220567.0,2001-January-4,2001-01-04,1,Thursday,2001-01
5,2001,January,232398.0,2001-January-5,2001-01-05,1,Friday,2001-01
6,2001,January,165685.0,2001-January-6,2001-01-06,1,Saturday,2001-01
7,2001,January,99610.0,2001-January-7,2001-01-07,1,Sunday,2001-01
8,2001,January,236638.0,2001-January-8,2001-01-08,1,Monday,2001-01
9,2001,January,239770.0,2001-January-9,2001-01-09,1,Tuesday,2001-01
10,2001,January,240088.0,2001-January-10,2001-01-10,1,Wednesday,2001-01
