Year,Month,Month_Name,YearMonth,Total_Ridership,Avg_Daily,Days
1999,12,December,1999-12,368916.0,23057.25,16
2000,1,January,2000-01,659116.0,21261.8064516129,31
2000,2,February,2000-02,1459552.0,50329.379310344826,29
2000,3,March,2000-03,1546787.0,49896.354838709674,31
2000,4,April,2000-04,1275710.0,49065.769230769234,26
2000,5,May,2000-05,1675700.0,54054.83870967742,31
2000,6,June,2000-06,1623976.0,54132.53333333333,30
2000,7,July,2000-07,2692054.0,89735.13333333333,30
2000,8,August,2000-08,5171524.0,166823.35483870967,31
2000,9,September,2000-09,5211402.0,173713.4,30
2000,10,October,2000-10,5495845.0,177285.32258064515,31
2000,11,November,2000-11,5627182.0,194040.75862068965,29
2000,12,December,2000-12,6962617.0,224600.5483870968,31
2001,1,January,2001-01,6850686.0,220989.87096774194,31
2001,2,February,2001-02,6546431.0,233801.10714285713,28
2001,3,March,2001-03,7476868.0,249228.93333333332,30
2001,4,April,2001-04,6251491.0,240441.96153846153,26
2001,5,May,2001-05,7118796.0,229638.5806451613,31
2001,6,June,2001-06,7416309.0,247210.3,30
2001,7,July,2001-07,8059856.0,259995.35483870967,31
2001,8,August,2001-08,8329166.0,268682.77419354836,31
2001,9,September,2001-09,7947605.0,264920.1666666667,30
2001,10,October,2001-10,8613773.0,277863.6451612903,31
2001,11,November,2001-11,7606151.0,253538.36666666667,30
2001,12,December,2001-12,8045016.0,259516.64516129033,31
2002,1,January,2002-01,8160724.0,263249.1612903226,31
2002,2,February,2002-02,7567509.0,270268.1785714286,28
2002,3,March,2002-03,7354889.0,262674.60714285716,28
2002,4,April,2002-04,7856958.0,261898.6,30
2002,5,May,2002-05,8090636.0,260988.25806451612,31
2002,6,June,2002-06,8215791.0,273859.7,30
2002,7,July,2002-07,8603687.0,277538.29032258067,31
2002,8,August,2002-08,9635311.0,310816.48387096776,31
2002,9,September,2002-09,9247382.0,308246.06666666665,30
2002,10,October,2002-10,9585241.0,309201.32258064515,31
2002,11,November,2002-11,9034544.0,301151.4666666667,30
2002,12,December,2002-12,9090892.0,293254.5806451613,31
2003,1,January,2003-01,9463295.0,305267.5806451613,31
2003,2,February,2003-02,8949173.0,319613.3214285714,28
2003,3,March,2003-03,9417472.0,303789.4193548387,31
2003,4,April,2003-04,7654948.0,283516.5925925926,27
2003,5,May,2003-05,8579208.0,276748.6451612903,31
2003,6,June,2003-06,9082575.0,302752.5,30
2003,7,July,2003-07,9474239.0,305620.6129032258,31
2003,8,August,2003-08,9537719.0,307668.3548387097,31
2003,9,September,2003-09,10036791.0,334559.7,30
2003,10,October,2003-10,10408300.0,335751.6129032258,31
2003,11,November,2003-11,9748272.0,336147.3103448276,29
2003,12,December,2003-12,10295482.0,332112.32258064515,31
2004,1,January,2004-01,10051192.0,324232.0,31
2004,2,February,2004-02,9837601.0,339227.6206896552,29
2004,3,March,2004-03,10681316.0,344558.5806451613,31
2004,4,April,2004-04,8600102.0,330773.1538461539,26
2004,5,May,2004-05,9651535.0,311339.8387096774,31
2004,6,June,2004-06,10193104.0,339770.13333333336,30
2004,7,July,2004-07,10951598.0,353277.3548387097,31
2004,8,August,2004-08,10563073.0,340744.29032258067,31
2004,9,September,2004-09,10643026.0,354767.5333333333,30
2004,10,October,2004-10,10572978.0,341063.8064516129,31
2004,11,November,2004-11,10293693.0,343123.1,30
2004,12,December,2004-12,10472951.0,337837.12903225806,31
2005,1,January,2005-01,10767535.0,347339.8387096774,31
2005,2,February,2005-02,9941404.0,355050.14285714284,28
2005,3,March,2005-03,10077543.0,359912.25,28
2005,4,April,2005-04,10485899.0,349529.9666666667,30
2005,5,May,2005-05,10587855.0,341543.70967741933,31
2005,6,June,2005-06,10622520.0,354084.0,30
2005,7,July,2005-07,10914817.0,352090.87096774194,31
2005,8,August,2005-08,11527030.0,371839.67741935485,31
2005,9,September,2005-09,11299545.0,376651.5,30
2005,10,October,2005-10,10861787.0,350380.22580645164,31
2005,11,November,2005-11,10393540.0,346451.3333333333,30
2005,12,December,2005-12,10921847.0,364061.56666666665,30
2006,1,January,2006-01,11538453.0,372208.1612903226,31
2006,2,February,2006-02,10769229.0,384615.3214285714,28
2006,3,March,2006-03,11943464.0,385273.03225806454,31
2006,4,April,2006-04,9907209.0,366933.6666666667,27
2006,5,May,2006-05,11603446.0,374304.70967741933,31
2006,6,June,2006-06,11167889.0,372262.9666666667,30
2006,7,July,2006-07,11242020.0,362645.8064516129,31
2006,8,August,2006-08,11674178.0,376586.3870967742,31
2006,9,September,2006-09,10623740.0,366335.8620689655,29
2006,10,October,2006-10,11521535.0,371662.4193548387,31
2006,11,November,2006-11,11684497.0,389483.23333333334,30
2006,12,December,2006-12,11475501.0,370177.4516129032,31
2007,1,January,2007-01,12003233.0,387201.06451612903,31
2007,2,February,2007-02,11102544.0,396519.4285714286,28
2007,3,March,2007-03,12186469.0,393111.9032258064,31
2007,4,April,2007-04,9847325.0,378743.26923076925,26
2007,5,May,2007-05,11835248.0,381782.1935483871,31
2007,6,June,2007-06,11726919.0,390897.3,30
2007,7,July,2007-07,12545080.0,404680.0,31
2007,8,August,2007-08,12163511.0,392371.32258064515,31
2007,9,September,2007-09,12349352.0,411645.06666666665,30
2007,10,October,2007-10,12748860.0,411253.5483870968,31
2007,11,November,2007-11,12015027.0,400500.9,30
2007,12,December,2007-12,12362489.0,398789.96774193546,31
2008,1,January,2008-01,12760261.0,411621.32258064515,31
2008,2,February,2008-02,12140166.0,418626.4137931034,29
2008,3,March,2008-03,11182082.0,414151.18518518517,27
2008,4,April,2008-04,12547164.0,418238.8,30
2008,5,May,2008-05,12770914.0,411964.96774193546,31
2008,6,June,2008-06,11853520.0,395117.3333333333,30
2008,7,July,2008-07,13197729.0,425733.1935483871,31
2008,8,August,2008-08,12621770.0,407153.87096774194,31
2008,9,September,2008-09,12849217.0,428307.23333333334,30
2008,10,October,2008-10,13103909.0,422706.7419354839,31
2008,11,November,2008-11,12429646.0,414321.5333333333,30
2008,12,December,2008-12,12129185.0,391264.03225806454,31
2009,1,January,2009-01,12891166.0,415844.06451612903,31
2009,2,February,2009-02,12226451.0,436658.96428571426,28
