YearMonth,Year,Month,Month_Name,Total_Ridership,Avg_Daily
2019-01,2019,1,January,9164318.0,295623.1612903226
2019-02,2019,2,February,8035470.0,286981.0714285714
2019-03,2019,3,March,8778829.0,283188.03225806454
2019-04,2019,4,April,6206973.0,269868.39130434784
2019-05,2019,5,May,8306128.0,267939.6129032258
2019-06,2019,6,June,7677153.0,255905.1
2019-07,2019,7,July,8652807.0,279122.8064516129
2019-08,2019,8,August,8178778.0,263831.5483870968
2019-09,2019,9,September,7948514.0,264950.4666666667
2019-10,2019,10,October,8444411.0,272400.3548387097
2019-11,2019,11,November,7938089.0,264602.9666666667
2019-12,2019,12,December,7818626.0,252213.74193548388
2020-01,2020,1,January,7985344.0,257591.74193548388
2020-02,2020,2,February,7449990.0,256896.2068965517
2020-03,2020,3,March,3297045.0,206065.3125
2020-06,2020,6,June,1351441.0,45048.03333333333
2020-07,2020,7,July,1135428.0,49366.434782608696
2020-08,2020,8,August,752632.0,47039.5
2020-09,2020,9,September,1800742.0,60024.73333333333
2020-10,2020,10,October,2223146.0,71714.3870967742
2020-11,2020,11,November,2363316.0,98471.5
2020-12,2020,12,December,3515082.0,113389.74193548386
2021-01,2021,1,January,4063234.0,131072.06451612903
2021-02,2021,2,February,4055305.0,144832.32142857142
2021-03,2021,3,March,3925348.0,135356.8275862069
2021-04,2021,4,April,2206292.0,84857.38461538461
2021-05,2021,5,May,3461763.0,111669.7741935484
2021-06,2021,6,June,3696124.0,123204.13333333333
2021-07,2021,7,July,4237967.0,136708.61290322582
2021-08,2021,8,August,2906711.0,93764.87096774194
2021-09,2021,9,September,3289883.0,109662.76666666666
2021-10,2021,10,October,3922111.0,126519.70967741935
2021-11,2021,11,November,4418970.0,147299.0
2021-12,2021,12,December,5508206.0,177684.06451612903
2022-01,2022,1,January,4423317.0,142687.64516129033
2022-02,2022,2,February,5298801.0,189242.89285714287
2022-03,2022,3,March,7231320.0,233268.38709677418
2022-04,2022,4,April,7318128.0,292725.12
2022-05,2022,5,May,9597794.0,309606.2580645161
2022-06,2022,6,June,10555184.0,351839.4666666667
2022-07,2022,7,July,8910370.0,287431.29032258067
2022-08,2022,8,August,8979990.0,289677.0967741936
2022-09,2022,9,September,8776440.0,292548.0
2022-10,2022,10,October,8996951.0,290224.22580645164
2022-11,2022,11,November,8939743.0,297991.43333333335
2022-12,2022,12,December,9302645.0,300085.32258064515
2023-01,2023,1,January,10466112.0,337616.51612903224
2023-02,2023,2,February,10054538.0,359090.64285714284
2023-03,2023,3,March,11009312.0,355139.0967741936
2023-04,2023,4,April,8723296.0,335511.3846153846
2023-05,2023,5,May,10713219.0,345587.70967741933
2023-06,2023,6,June,10404646.0,346821.5333333333
2023-07,2023,7,July,10878445.0,350917.5806451613
2023-08,2023,8,August,11618005.0,374774.3548387097
2023-09,2023,9,September,11394480.0,379816.0
2023-10,2023,10,October,11596392.0,374077.1612903226
2023-11,2023,11,November,10982341.0,366078.0333333333
2023-12,2023,12,December,11189372.0,360947.48387096776
2024-01,2024,1,January,11646983.0,375709.12903225806
2024-02,2024,2,February,11144888.0,384306.4827586207
2024-03,2024,3,March,10304541.0,381649.6666666667
2024-04,2024,4,April,10881668.0,362722.26666666666
2024-05,2024,5,May,11460373.0,369689.4516129032
2024-06,2024,6,June,11052145.0,368404.8333333333
2024-07,2024,7,July,11375800.0,366961.29032258067
2024-08,2024,8,August,11683519.0,376887.70967741933
2024-09,2024,9,September,11339099.0,377969.9666666667
2024-10,2024,10,October,12030245.0,388072.4193548387
2024-11,2024,11,November,11601078.0,386702.6
2024-12,2024,12,December,11364997.0,366612.8064516129
2025-01,2025,1,January,11649652.0,375795.22580645164
2025-02,2025,2,February,11102180.0,396506.4285714286
2025-03,2025,3,March,568679.0,284339.5
